COPY organizacja FROM STDIN DELIMITER ';' NULL 'null';
0;31;UJ
1;30;UE
\.


COPY kategorie FROM STDIN DELIMITER ';' NULL 'null';
0;Sport
1;Literatura
2;Historia
3;Geografia
4;Nauka
5;Muzyka
6;Sztuka
7;Kino
8;Polityk
9;Technologia
10;Inne
\.


COPY miejscowosci FROM STDIN DELIMITER ',' NULL 'null';
0,Inowrocław
1,Olsztyn
2,Chełm
3,Bełchatów
4,Luboń
5,Piła
6,Police
7,Polkowice
8,Jasło
9,Wyszków
10,Rumia
\.


COPY adresy FROM STDIN DELIMITER ',' NULL 'null';
0,6,Chopina,14-033,9,77
1,2,Morska,51-514,39,62
2,4,Handlowa,38-366,36,53
3,8,Rynek,43-755,6,82
4,9,Traugutta,49-686,5,25
5,10,Zaułek,23-948,39,58
6,6,Jana,59-990,1,73
7,6,Wiosenna,42-580,12,83
8,7,Rajska,08-590,12,20
9,5,Zapolskiej,23-509,31,76
10,1,Sosnowa,57-108,28,45
11,0,Spółdzielcza,47-871,12,69
12,10,Armii Krajowej,98-630,19,28
13,5,Kosynierów,84-934,30,63
14,8,Rybacka,42-739,31,35
15,2,Górna,79-419,38,98
16,8,Nałkowskiej,85-922,4,12
17,2,Wierzbowa,68-862,37,84
18,1,Rycerska,18-700,25,53
19,7,Pomorska,45-422,40,56
20,4,Częstochowska,82-479,5,71
21,6,Jana III Sobieskiego,52-326,11,66
\.


COPY pytania FROM STDIN DELIMITER ';' NULL 'null';
0;Po 1582 roku, SUCH jest najczęstszym odpowiednikiem HER. SHE i SUCH zostały połączone w tytule serialu grozy w reżyserii Seana Cunninghama. Odtwórz ten tytuł składający się z dwóch słów.;Friday 13th;7
1;Program informacyjny Channel One w dniu 14 maja 2011 roku mówił o bajkowym przedstawieniu obiecanym przez organizatorów ceremonii prezentacji zegarków olimpijskich w Soczi. Zostały one zamontowane, gdy do otwarcia Olimpiady pozostało dokładnie DWADZIEŚCIA MIESIĘCY. Jakie słowa zastąpiliśmy w tekście pytania słowem TWENTY MONTHS?;tysiąc i jedna noc;1
2;W chińskim mieście Xian znajduje się pagoda dzikiego YIH. Według legendy pewien mnich modlił się o pomoc podczas wielkiego głodu. I niebo zesłało jedzenie dla pobożnego starca. Kilka tłustych IH wpadło prosto w jego ręce. Podobną historię opowiadał Munchausen, a w jednej z europejskich stolic postawiono im pomnik. Wymień ich imię i nazwisko.;gęsi;2
3;Budując hotel w pobliżu lotniska w Chicago, właściciele zadbali o wszelkie możliwe udogodnienia dla HER. Jednak wkrótce po zajęciu hotelu musieli zainstalować dodatkowe urządzenia, które imitowały szmer fal morskich i rzecznych, szum gałęzi i ciche wycie wiatru. Wymień EE.;izolacja akustyczna;3
4;Projektant Vadim Kibardin stworzył manipulator przeznaczony do walki z dolegliwością zwaną zespołem cieśni nadgarstka. Nazwa tego manipulatora jest taka sama jak tytuł dzieła, którego premiera odbyła się w 1874 roku. Podaj autora tego dzieła.;[Johann] Strauss;5
5;W czasach starożytnych wiele ludów świata przy pochówku oddawało SWOJE ciała. HE odróżnia motocyklistę na motocyklu sportowym, znacznie bardziej niebezpiecznym od innych motocykli, od pozostałych motocyklistów. Wymień JEJ nazwę w dwóch słowach.;pozę embrionalną;10
6;Na opakowaniu słuchawek znanego kanadyjskiego projektanta znajduje się pięć cienkich, poziomych linii równoległych. Wymień JEJ nazwisko.;[Philip] Starck;11
7;O NIM mówiło się w latach 20. ubiegłego wieku. ONO bylo tematem rozprawy doktorskiej, w której lekarz Caroline Sjönger Philip doszła do wniosku, że immunoalergiczna bronchopneumopatologia jest faktycznie przyczyną zgonów ludzi. Nazwij JEGO w dwóch słowach.;klątwa faraonów;2
8;Baron Robert Baden-Powell uważał, że ludność kolonii powinna być rządzona żelazną ręką, a jeśli jej siła nie zostanie zauważona, ZROBIĆ TO. Etykieta wymaga, aby mężczyzna podczas powitania zrobił TO, ale kobieta nie. Które dwa słowa zastąpiliśmy słowem ZROIC TO?;zdjąć rękawicę;2
9;Komentując porażkę Barcelony z AC Milan, portal championat.com zauważył, że Messi jakby przeniósł się do NIEGO. Inna strona nazwała EGO cudownym kwiatem chińskiej sztuki ludowej. Nazwi EGO za pomocą dwóch słów;teatr cieni;0
