COPY uczestnicy FROM STDIN DELIMITER ';' NULL 'null';
0;Michał;Kapka;M;1965-05-14
1;Adam;Lenc;F;2000-08-18
2;Daniel;Witan;F;2021-07-05
3;Karol;Nalewajek;M;1981-12-05
4;Kamil;Zaraś;M;1978-07-26
5;Maciej;Kordys;F;2010-06-18
6;Ignacy;Pitura;M;2002-03-09
7;Kornelia;Maculewicz;M;1984-04-15
8;Marianna;Penar;M;2002-01-10
9;Natasza;Szmalec;F;1987-02-18
10;Ewa;Solarczyk;M;2022-12-06
11;Maurycy;Wlaźlak;F;1993-10-07
12;Piotr;Moździerz;M;1989-12-15
13;Marcel;Siedlarz;F;2012-08-17
14;Olga;Zdziech;M;1997-10-13
15;Anna Maria;Kopij;M;2021-05-13
16;Robert;Wacławiak;M;1992-01-20
17;Nataniel;Dorobisz;M;2000-06-28
18;Emil;Czupryna;F;1995-09-13
19;Marcelina;Olchawa;M;2022-12-04
20;Maks;Kiliszek;F;2017-03-08
21;Aurelia;Grzywnowicz;F;2023-05-25
22;Kaja;Marchlewicz;M;2002-09-23
23;Justyna;Dybka;F;1967-09-11
24;Konstanty;Rabiej;F;1968-03-12
25;Łukasz;Cyrulik;M;1991-02-27
26;Grzegorz;Rzeźniczak;M;2012-08-08
27;Filip;Doliwa;M;2013-11-16
28;Arkadiusz;Brózda;F;2003-02-02
29;Róża;Grycz;F;1988-12-17
30;Andrzej;Szczot;M;2019-05-20
31;Jakub;Zacharek;F;1965-04-22
32;Maurycy;Andrejczuk;M;1985-10-08
33;Kazimierz;Klaja;F;1976-08-04
34;Kornelia;Such;M;1975-06-13
35;Daniel;Bartel;F;1970-04-23
36;Dorota;Prokurat;F;1999-07-27
37;Igor;Ratka;M;1984-09-02
38;Damian;Czapiga;F;1973-10-03
39;Roksana;Kobel;M;1986-04-15
40;Dorota;Gorol;M;2016-12-07
41;Krystian;Olewniczak;F;1986-01-22
42;Apolonia;Samson;M;1987-08-08
43;Fryderyk;Rezler;M;1975-02-04
44;Lidia;Engel;M;1970-12-15
45;Arkadiusz;Ksel;F;1972-12-19
46;Olaf;Cholewka;M;1965-07-10
47;Monika;Skoneczna;F;1984-10-19
48;Robert;Paw;F;1974-08-11
49;Kajetan;Bejnarowicz;F;1990-11-08
50;Szymon;Nazar;F;1970-03-13
51;Maks;Chaber;M;2005-11-04
52;Kornel;Tylka;M;2017-05-10
53;Ewelina;Jędruszczak;F;1978-05-23
54;Ewa;Cebulak;M;1994-02-07
55;Ida;Młodzik;M;1998-05-21
56;Cyprian;Kłosiewicz;M;1976-10-14
57;Andrzej;Gabryszak;M;1998-03-23
58;Maurycy;Marach;M;1997-07-21
59;Olaf;Fras;M;1980-01-04
60;Kaja;Szałkiewicz;M;1990-01-29
61;Jacek;Goworek;M;1969-10-05
62;Kalina;Raszkiewicz;F;2006-06-21
63;Józef;Sysło;F;1980-10-07
64;Krystian;Gabryelczyk;M;2013-08-11
65;Maksymilian;Zmyślony;M;2003-02-04
66;Marcin;Wyłupek;F;1985-12-14
67;Mikołaj;Cymbała;M;2010-07-01
68;Ewa;Berendt;M;2004-05-15
69;Klara;Kozon;M;1991-02-25
70;Monika;Procek;F;1997-06-08
71;Blanka;Ziemak;M;2000-12-21
72;Ignacy;Błażejczak;F;1999-10-23
73;Oliwier;Stempel;F;1979-12-08
74;Dawid;Grosz;M;2012-05-13
75;Adrianna;Kapałka;F;1985-07-24
76;Maksymilian;Gregorczuk;M;1992-11-28
77;Dorota;Kliszcz;F;2005-10-13
78;Miłosz;Cuch;M;1976-05-23
79;Aleksander;Karpik;F;1967-02-18
80;Stanisław;Dubik;M;2012-06-06
81;Konstanty;Raczkiewicz;M;1976-07-07
82;Jędrzej;Bacia;F;1983-01-19
83;Jerzy;Szczypiór;F;1968-11-29
84;Dominik;Konat;F;1965-03-22
85;Oliwier;Gustaw;M;1983-03-28
86;Łukasz;Kusio;F;1991-10-06
87;Roksana;Walencik;F;1991-07-18
88;Gaja;Józwik;F;1990-11-27
89;Sebastian;Andrearczyk;M;1982-08-28
90;Natan;Kręgiel;M;2021-09-27
91;Marcin;Kasperczak;F;1987-03-04
92;Karol;Nieszporek;M;1991-08-23
93;Iwo;Adamaszek;M;2021-05-13
94;Melania;Wrochna;M;1974-03-03
95;Tadeusz;Pietrak;M;2003-07-16
96;Witold;Lipowicz;M;2006-11-06
97;Błażej;Matulka;M;2010-10-10
98;Andrzej;Sterna;F;1998-02-24
99;Ada;Pazera;F;2009-09-13
100;Ida;Ciemięga;F;2009-07-19
101;Filip;Śliz;M;1970-07-14
102;Mariusz;Bekus;F;1965-10-30
103;Dawid;Garncarek;F;1983-09-17
104;Anastazja;Biernacik;M;1984-11-21
105;Antoni;Szmagaj;M;1969-12-01
106;Przemysław;Zemanek;M;1982-02-05
107;Bruno;Jarmużek;M;1998-05-24
108;Melania;Terka;M;2005-02-11
109;Konstanty;Wojtarowicz;M;2011-07-03
110;Natan;Nowotny;F;1994-12-15
111;Apolonia;Grzejszczak;M;1966-05-10
112;Paweł;Makar;M;1977-03-25
113;Nela;Wakuła;M;1997-12-11
114;Oskar;Miros;F;1988-09-23
115;Justyna;Stoltman;M;2020-01-17
116;Daniel;Cylwik;M;1969-07-25
117;Klara;Błażejak;F;2000-09-02
118;Gabriel;Krępa;M;2003-06-05
119;Sebastian;Koperek;M;1974-06-16
120;Ignacy;Kaziród;M;1999-09-01
121;Paweł;Soliwoda;M;1996-12-06
122;Klara;Maćków;M;1976-05-07
123;Patryk;Ochnik;F;2014-01-26
124;Ksawery;Szczypiór;F;1965-12-09
125;Anita;Jaśkowiec;F;1974-09-06
126;Nataniel;Tłuczek;M;2021-02-12
127;Ignacy;Siwka;M;2020-06-13
